target_id	length	eff_length	est_counts	tpm
Blon_0726	1266	1067	385	39.8815
Blon_0727	786	587	492	92.6408
Blon_0728	2253	2054	1340	72.1074
Blon_0729	3615	3416	3182	102.957
Blon_0730	2766	2567	1818	78.2787
Blon_0731	1119	920	849	101.999
Blon_0732	1956	1757	5193	326.68
Blon_0733	789	590	961	180.031
Blon_0734	768	569	363	70.5131
Blon_0735	567	368	5016	1506.56
Blon_0736	564	365	3899	1180.69
Blon_0737	1224	1025	4025	434.028
Blon_0738	3384	3185	14871	516.067
Blon_0739	921	722	2005	306.939
Blon_0740	591	392	436	122.935
Blon_0741	636	437	199	50.3323
Blon_0742	2256	2057	1333	71.6261
Blon_0743	642	443	154	38.4231
Blon_0744	660	461	1061	254.384
Blon_0745	675	476	745	172.992
